"Freq [kHz]","im(Z(1,1)) []"
10,-1152631.4224804
10110.9090909091,-689234.673398721
20211.8181818182,-345034.329600276
30312.7272727273,-230091.607915753
40413.6363636364,-172591.277378949
50514.5454545455,-138083.165571727
60615.4545454545,-115074.796265765
70716.3636363636,-98638.9154821469
80817.2727272727,-86311.3314530362
90918.1818181818,-76722.8416974693
101019.090909091,-69051.8043306006
111120,-62775.0837327376
121220.909090909,-57544.3636478565
131321.818181818,-53118.2867947596
141422.727272727,-49324.4473433387
151523.636363636,-46036.4096574257
161624.545454545,-43159.3440623623
171725.454545455,-40620.7318345799
181826.363636364,-38364.1682437692
191927.272727273,-36345.1223634354
202028.181818182,-34527.9688383651
212129.090909091,-32883.8676564266
222230,-31389.2221247773
232330.909090909,-30024.5390872297
242431.818181818,-28773.574069965
252532.727272727,-27622.6815804874
262633.636363636,-26560.3153294193
272734.545454545,-25576.6395083665
282835.454545455,-24663.2233612726
292936.363636364,-23812.7989449283
303037.272727273,-23019.067335194
313138.181818182,-22276.5423400752
323239.090909091,-21580.42351538
333340,-20926.4922675188
343440.909090909,-20311.0262903993
353541.818181818,-19730.7286697399
363642.727272727,-19182.6688029087
373743.636363636,-18664.2328989979
383844.545454545,-18173.0822944156
393945.454545455,-17707.1181812554
404046.363636364,-17264.4516262453
414147.272727273,-16843.3779770332
424248.181818182,-16442.3549246105
434349.090909091,-16059.9836267038
444450,-15694.9924051789
454550.909090909,-15346.2226170641
464651.818181818,-15012.6163684353
474752.727272727,-14693.2057967013
484853.636363636,-14387.1036925688
494954.545454545,-14093.4952703107
505055.454545455,-13811.6309255782
515156.363636364,-13540.8198452156
525257.272727273,-13280.4243543865
535358.181818182,-13029.8549036346
545459.090909091,-12788.5656129244
555560,-12556.0503017776
565660.909090909,-12331.8389447417
575761.818181818,-12115.4944999605
585862.727272727,-11906.6100658161
595963.636363636,-11704.8063267214
606064.545454545,-11509.7292543269
616165.454545454,-11321.0480348354
626266.363636364,-11138.4531968945
636367.272727273,-10961.6549177822
646468.181818182,-10790.3814883847
656569.090909091,-10624.3779198658
666670,-10463.4046770012
676770.909090909,-10307.2365249425
686871.818181818,-10155.6614777367
696972.727272727,-10008.479838277
707073.636363636,-9865.50332054135
717174.545454545,-9726.55424600819
727275.454545454,-9591.46480703551
737376.363636364,-9460.07639078356
747477.272727273,-9332.23895795368
757578.181818182,-9207.81047122734
767679.090909091,-9086.65636882776
777780,-8968.64907910198
787880.909090909,-8853.66757244241
797981.818181818,-8741.59694723903
808082.727272727,-8632.32804688484
818183.636363636,-8525.75710515079
828284.545454546,-8421.78541750865
838385.454545454,-8320.31903621325
848486.363636364,-8221.26848716432
858587.272727273,-8124.54850675431
868688.181818182,-8030.07779707535
878789.090909091,-7937.7787980084
888890,-7847.57747485146
898990.909090909,-7759.40312026486
909091.818181818,-7673.18816942002
919192.727272727,-7588.86802733609
929293.636363636,-7506.38090747708
939394.545454545,-7425.66768076191
949495.454545454,-7346.6717342121
959596.363636364,-7269.33883852681
969697.272727273,-7193.61702393437
979798.181818182,-7119.45646372296
989899.090909091,-7046.80936490208
1000000,-6975.62986548915
