"Freq [GHz]","dB(S(1,1)) []"
0.1,-46.7139503751703
0.2,-41.2976257589592
0.3,-38.8062040455211
0.4,-37.8738002408819
0.5,-38.2742186712092
0.6,-40.4141360788765
0.7,-46.5856370912579
0.8,-52.7201555850838
0.9,-38.9926360931155
1,-33.2567183208819
1.1,-29.5640962299819
1.2,-26.8507251300793
1.3,-24.8059376041787
1.4,-23.2632584056497
1.5,-22.1233392545371
1.6,-21.3289539805776
1.7,-20.8537602002991
1.8,-20.6950409531448
1.9,-20.8689805757233
2,-21.4104836874329
2.1,-22.3821868246459
2.2,-23.9021727283325
2.3,-26.2176836667447
2.4,-29.9410020709335
2.5,-37.2403625580569
2.6,-41.9777435304984
2.7,-32.0319886363211
2.8,-27.7608329517284
2.9,-25.4036271989159
3,-24.041143309157
