"Freq [GHz]","mag(S(2,1)) []"
0.1,0.999547113725097
0.2,0.998858246880053
0.3,0.997693184827656
0.4,0.996016631687685
0.5,0.993763416687649
0.6,0.990831237469432
0.7,0.987081654753783
0.8,0.98235410815683
0.9,0.976495275472133
1,0.969401113901496
1.1,0.961414365268473
1.2,0.952679299098742
1.3,0.943541996157703
1.4,0.934403192883469
1.5,0.925677609548056
1.6,0.917752447399626
1.7,0.91095041737581
1.8,0.905500563382504
1.9,0.901518144751997
2,0.898993651492089
2.1,0.897790782465917
2.2,0.897653538078087
2.3,0.898222743937715
2.4,0.89906153678753
2.5,0.899687126997271
2.6,0.899602818983344
2.7,0.898321279716779
2.8,0.895369752579851
2.9,0.890272495031411
3,0.882515670063045
