"Freq [MHz]","dB(Y(1,1)) [] - d1='1nm'","dB(Y(1,1)) [] - d1='2nm'","dB(Y(1,1)) [] - d1='3nm'","dB(Y(1,1)) [] - d1='4nm'","dB(Y(1,1)) [] - d1='5nm'","dB(Y(1,1)) [] - d1='6nm'","dB(Y(1,1)) [] - d1='7nm'","dB(Y(1,1)) [] - d1='8nm'","dB(Y(1,1)) [] - d1='9nm'","dB(Y(1,1)) [] - d1='10nm'","dB(Y(1,1)) [] - d1='11nm'","dB(Y(1,1)) [] - d1='12nm'","dB(Y(1,1)) [] - d1='13nm'","dB(Y(1,1)) [] - d1='14nm'","dB(Y(1,1)) [] - d1='15nm'","dB(Y(1,1)) [] - d1='16nm'","dB(Y(1,1)) [] - d1='17nm'","dB(Y(1,1)) [] - d1='18nm'","dB(Y(1,1)) [] - d1='19nm'","dB(Y(1,1)) [] - d1='20nm'","dB(Y(1,1)) [] - d1='2.5um'"
0.1,-102.287883104608,-101.671592581879,-103.995341344876,-103.761026532059,-103.709078985044,-103.930066154162,-103.96612155419,-103.886273776663,-103.672394203176,-103.596860192194,-103.891385114404,-103.817892451619,-103.647784048391,-103.690862171283,-103.453998246224,-103.440186066547,-103.556526222191,-103.601706136199,-103.582443070709,-103.624003630253,-104.673692753774
100.1,-97.7328442082214,-97.3067758895483,-99.0551225867495,-98.8709799348767,-98.9090984942361,-98.9414429660991,-99.0052705716719,-98.868342676258,-98.7896212388981,-98.7244186116113,-98.9536168163727,-98.9112068905336,-98.7769729355456,-98.8655368276068,-98.6577577700349,-98.6923079111876,-98.7556448676713,-98.7848895434038,-98.7681813020129,-98.7849326423856,-100.205171988541
200.1,-93.1538420846964,-92.7292378457424,-94.4750245751924,-94.2916128832455,-94.3291452276205,-94.3611290758319,-94.4246756505615,-94.2872296461103,-94.2091140478546,-94.143087130819,-94.3714770493727,-94.3288178859675,-94.194661305661,-94.2827564945682,-94.0751360924623,-94.1096969753665,-94.1724224804375,-94.2011740291437,-94.1837615679923,-94.1996789870061,-95.5527601683973
300.1,-89.9613627304114,-89.5371795383264,-91.2822881130095,-91.0990869710782,-91.1364764165556,-91.1684145753623,-91.231873548213,-91.0943196369659,-91.0163782474609,-90.9501358492884,-91.1783545730926,-91.1356456717235,-91.0015175743622,-91.0894966569046,-90.8819283918643,-90.9165050124107,-90.9790975622539,-91.0077499139009,-90.9902053691957,-91.0059035655322,-92.3408342066448
400.1,-87.5842332539672,-87.1602247929781,-88.9050667065399,-88.7219446414245,-88.7592845439724,-88.7912310680891,-88.8546289235772,-88.7170351356403,-88.6391634516764,-88.5728367025391,-88.8009929466248,-88.7582667396053,-88.6241500965822,-88.7120850280792,-88.5045387334057,-88.5391223336329,-88.6016646848348,-88.6302827929795,-88.6126904464515,-88.6283049080513,-89.956262146138
500.1,-85.7036083771608,-85.2796963815929,-87.0244031203123,-86.8413155247731,-86.8786369626301,-86.910614013361,-86.973951274411,-86.8363378571001,-86.7585017978385,-86.6921324795364,-86.9202591599925,-86.87752545316,-86.7434142638527,-86.8313278719585,-86.6237935896058,-86.6583805986987,-86.7208975410123,-86.7495012165116,-86.731884973556,-86.7474596579796,-88.0720687741271
600.1,-84.1516340138489,-83.7277884789645,-85.4724128308775,-85.2893403168936,-85.3266571417225,-85.3586790396024,-85.4219493036002,-85.284324175757,-85.2065099653,-85.1401148587486,-85.3682251674926,-85.3254879957488,-85.1913796760577,-85.2792812680766,-85.0717550811566,-85.1063438839968,-85.1688450332361,-85.1974425247924,-85.1798114117581,-85.1953645511532,-86.5181219320658
700.1,-82.83192580013,-82.4081343754424,-84.1527005825971,-83.9696330260765,-84.0069528810692,-84.0390312637827,-84.1022256709233,-83.9645924388269,-83.8867937404372,-83.8203805744263,-84.0484807776448,-84.005742167952,-83.8716354189985,-83.9595294400911,-83.7520096753564,-83.7865994383333,-83.84908906861,-83.8776845944133,-83.8600425440021,-83.8755830398125,-85.1972127311663
800.1,-81.6846320557437,-81.2608900250416,-83.0054100380212,-82.8223413293076,-82.859669193167,-82.8918145774631,-82.9549232231168,-82.8172836711099,-82.739497367496,-82.6730699767195,-82.9011634087459,-82.8584245422389,-82.7243186286447,-82.8122074396829,-82.6046934014715,-82.6392836433334,-82.7017637643955,-82.7303598430959,-82.7127086614893,-82.7282413976759,-84.0491349377628
900.1,-80.6702170785241,-80.2465234489817,-81.9910032385015,-81.8079292282722,-81.8452687858936,-81.8774911518348,-81.9405036279226,-81.8028586639226,-81.725083208712,-81.6586435343831,-81.8867321174936,-81.8439937691503,-81.7098882325648,-81.7977731830427,-81.5902646545752,-81.6248550700126,-81.6873266001471,-81.7159249337953,-81.6982654116199,-81.7137933176609,-83.0341805041677
