"Freq [MHz]","re(Y(1,1)) []"
0.01,1.12535669243697E-005
1.02,1.12362246159911E-005
2.03,1.12363105039772E-005
3.04,1.12364551051369E-005
4.05,1.1236657536781E-005
5.06,1.12369176621258E-005
6.07,1.12372354128904E-005
7.08,1.12376107227074E-005
8.09,1.12380435108398E-005
9.1,1.12385336737777E-005
10.11,1.123908107788E-005
11.12,1.12396855513725E-005
12.13,1.12403468750856E-005
13.14,1.12410647714703E-005
14.15,1.12418388915937E-005
15.16,1.12426687996762E-005
16.17,1.12435539546637E-005
17.18,1.1244493688397E-005
18.19,1.1245487179626E-005
19.2,1.1246533423152E-005
20.21,1.12476311931217E-005
21.22,1.12487789994191E-005
22.23,1.12499750357546E-005
23.24,1.12512171179942E-005
24.25,1.12525026107019E-005
25.26,1.12538283398348E-005
26.27,1.12551904888784E-005
27.28,1.12565844754633E-005
28.29,1.12580048049696E-005
29.3,1.12594448971165E-005
30.31,1.12608968812667E-005
31.32,1.12623513557757E-005
32.33,1.12637971069505E-005
33.34,1.12652207836911E-005
34.35,1.12666065259323E-005
35.36,1.12679355486958E-005
36.37,1.12691856905526E-005
37.38,1.12703309484156E-005
38.39,1.12713410424065E-005
39.4,1.12721810931268E-005
40.41,1.12728115583709E-005
41.42,1.12731886865189E-005
42.43,1.12732659303747E-005
43.44,1.12729970812231E-005
44.45,1.12723424188382E-005
45.46,1.12712800797925E-005
46.47,1.12698263654423E-005
47.48,1.12680711933495E-005
48.49,1.12662387191494E-005
49.5,1.12647882205998E-005
50.51,1.12645741577292E-005
51.52,1.12670761286453E-005
52.53,1.12746557605303E-005
53.54,1.12906229657691E-005
54.55,1.13185271075583E-005
55.56,1.13598275229368E-005
56.57,1.14102934742089E-005
57.58,1.14589637197453E-005
58.59,1.14937055299193E-005
59.6,1.15088316232504E-005
60.61,1.15064004439688E-005
61.62,1.14920409443506E-005
62.63,1.14711717439368E-005
63.64,1.14476567525895E-005
64.65,1.14238901071905E-005
65.66,1.14012424098197E-005
66.67,1.13804447719364E-005
67.68,1.13618410997497E-005
68.69,1.13455406661883E-005
69.7,1.13315100675975E-005
70.71,1.13196306383037E-005
71.72,1.13097358711557E-005
72.73,1.1301636481787E-005
73.74,1.12951372115152E-005
74.75,1.12900477827508E-005
75.76,1.12861896234864E-005
76.77,1.12833995542208E-005
77.78,1.12815313552125E-005
78.79,1.12804559180467E-005
79.8,1.12800605083121E-005
80.81,1.12802475197082E-005
81.82,1.12809329834813E-005
82.83,1.12820450076662E-005
83.84,1.12835222553437E-005
84.85,1.12853125248015E-005
85.86,1.12873714632683E-005
86.87,1.12896614254161E-005
87.88,1.12921504753312E-005
88.89,1.1294811523383E-005
89.9,1.12976215856927E-005
90.91,1.13005611525786E-005
91.92,1.130361365225E-005
92.93,1.13067649967397E-005
93.94,1.13100031983144E-005
94.95,1.13133180458691E-005
95.96,1.13167008320462E-005
96.97,1.13201441233081E-005
97.98,1.13236415661073E-005
98.99,1.13271877234163E-005
100,1.1330777936838E-005
