"Freq [GHz]","dB(S(1,2)) []"
0.1,-0.0141018218727156
0.132222222222222,-0.0169437925025234
0.164444444444444,-0.0205352594410819
0.196666666666667,-0.024847461747676
0.228888888888889,-0.0298453364958102
0.261111111111111,-0.0354875770300875
0.293333333333333,-0.0417267754675026
0.325555555555556,-0.0485096787361537
0.357777777777778,-0.0557775872617362
0.39,-0.0634669238158446
0.422222222222222,-0.0715099970657308
0.454444444444444,-0.0798359800542917
0.486666666666667,-0.0883721182217429
0.518888888888889,-0.0970451746709298
0.551111111111111,-0.105783112174735
0.583333333333333,-0.114517001927095
0.615555555555556,-0.123183138275577
0.647777777777778,-0.13172532673508
0.68,-0.140097299666639
0.712222222222222,-0.148265200462277
0.744444444444444,-0.15621006344539
0.776666666666667,-0.16393020373072
0.808888888888889,-0.171443419961615
0.841111111111111,-0.178788904316387
0.873333333333333,-0.186028749734913
0.905555555555556,-0.193248945259163
0.937777777777778,-0.200559757870801
0.97,-0.208095414097905
1.00222222222222,-0.215929035125694
1.03444444444444,-0.222819222592496
1.06666666666667,-0.229654368813793
1.09888888888889,-0.23646478269779
1.13111111111111,-0.24328524820159
1.16333333333333,-0.25015479383739
1.19555555555556,-0.257116451149512
1.22777777777778,-0.264217006170489
1.26,-0.271506747180034
1.29222222222222,-0.279039211297118
1.32444444444444,-0.286870931548939
1.35666666666667,-0.295061185101096
1.38888888888889,-0.303671742325037
1.42111111111111,-0.312766615350035
1.45333333333333,-0.322411803729908
1.48555555555556,-0.332675033885143
1.51777777777778,-0.343625488097703
1.55,-0.355333518079279
1.58222222222222,-0.367870337545365
1.61444444444444,-0.381307687847877
1.64666666666667,-0.39571747058678
1.67888888888889,-0.411171341269933
1.71111111111111,-0.42774025854808
1.74333333333333,-0.445493984338099
1.77555555555556,-0.464500531270898
1.80777777777778,-0.484825555356982
1.84,-0.506531693535074
1.87222222222222,-0.529677847823388
1.90444444444444,-0.554318420079559
1.93666666666667,-0.58050250382787
1.96888888888889,-0.60827304214985
2.00111111111111,-0.637665963162468
2.03333333333333,-0.668709307022239
2.06555555555556,-0.701422360584605
2.09777777777778,-0.735814817705176
2.13,-0.771885984589201
2.16222222222222,-0.809624050486793
2.19444444444444,-0.849005444320501
2.22666666666667,-0.889994297472712
2.25888888888889,-0.932542031933138
2.29111111111111,-0.976587091328403
2.32333333333333,-1.02205483007277
2.35555555555556,-1.06885757307431
2.38777777777778,-1.1168948552128
2.42,-1.16605384630747
2.45222222222222,-1.21620996366216
2.48444444444444,-1.2672276706658
2.51666666666667,-1.31896145648753
2.54888888888889,-1.37125698877678
2.58111111111111,-1.42395242857453
2.61333333333333,-1.47687989445224
2.64555555555556,-1.52986706127754
2.67777777777778,-1.58273887798137
2.71,-1.63531938825923
2.74222222222222,-1.68743363823518
2.77444444444444,-1.7389096556764
2.80666666666667,-1.78958048627394
2.83888888888889,-1.83928627368306
2.87111111111111,-1.88787637131772
2.90333333333333,-1.93521147518007
2.93555555555556,-1.98116576813733
2.96777777777778,-2.025629066895
3,-2.06850896332082
